ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
01089	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01090	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01092	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01093	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01094	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01095	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01096	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01097	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01098	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01101	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01102	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01103	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01104	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01105	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01106	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01107	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01108	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01109	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01111	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01114	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01115	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01116	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01118	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01119	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01128	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01129	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01133	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01138	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01139	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01144	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01151	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01152	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01195	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01199	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01201	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01202	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01203	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01220	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01222	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01223	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01224	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01225	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01226	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01227	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01229	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01230	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01235	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01236	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01237	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01238	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01240	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01242	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01243	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01244	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01245	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01247	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01252	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01253	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01254	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01255	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01256	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01257	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01258	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01259	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01260	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01262	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01263	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01264	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01266	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01267	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01270	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
